순번,기관명,행사명,주관기관명,행사지역,행사장소,기술 분류,해시태그,행사기간-시작일,행사기간-종료일
1,홍보협력팀,2023 연구개발특구 신년인사회,연구개발특구진흥재단,대덕특구,대전 DCC,기타,#신년인사회 #신년회 #대덕특구 #50주년,2023-01-30,2023-01-30
2,연구개발특구진흥재단,환경기후분야 국내외 R&BD 활성화를 위한 심포지움 개최,인천대학교 환경공학과,과학벨트,경원재 엠배서더(인천 송도),"ET,기타",#환경 #기후변화 ,2023-01-12,2023-01-12
3,연구개발특구진흥재단,대구디지털혁신진흥원 2023년 지원사업 설명회,(재)대구디지털혁신진흥원,대구특구,온라인,기타,#유관기관 #설명회 #지원사업,2023-01-19,2023-01-19
4,연구개발특구진흥재단,제6차 지방과학기술진흥종합계획 및 지역별 과학기술계획 공유회,한국과학기술기획평가원(KISTEP),부산특구,부산 아스티호텔,기타,#과학기술,2023-01-11,2023-01-11
5,특구재단 전북특구본부,전북대학교 2023 LINC 산학연협력페스티벌,전북대학교,전북특구,전북대학교 중앙도서관 LINC 라운지,기타,#전북대학교 #JBNU #산학연 #기술사업화,2023-01-12,2023-01-13
6,연구개발특구진흥재단,제14회 INNOPOLIS AI 세미나,연구개발특구진흥재단,대덕특구,온라인,IT,#연구개발특구 #인공지능 #AI #역량강화 #세미나 #SPACE-S #NVIDIA,2023-01-25,2023-01-25
7,전북특구본부 기술사업화팀 ,우수 기술개발제품 인증 지원제도 교육,"전북특구본부, 전북대링크사업단 등 ",전북특구,전북대학교 국제컨벤션센터 세미나실4,기타,#연구개발특구 #기술사업화 #신기술인증 #교육 #NEP #NET #조달,2023-01-17,2023-01-17
8,연구개발특구진흥재단,제 1차 연구행정혁신연구회 운영위 개최 ,연구개발특구진흥재단 ,대덕특구,한국화학연구원 디딤돌플라자 2층 회의실 ,기타,#전문성 #연구행정 ,2023-01-17,2023-01-17
9,연구개발특구진흥재단,기술이전우수사례연구회 ,연구개발특구진흥재단 ,대덕특구,대전테크비즈센터 1층 콜라보홀 ,ST,#비행역학 #인공위성 #우주경제 #과학기술 #엑셀러레이팅,2023-01-18,2023-01-18
10,연구개발특구진흥재단,부산연구개발특구 지정변경 개발계획(안) 공청회,부산광역시,부산특구,부산역 유라시아플랫폼 회의실,기타,#지정변경 #공청회,2023-01-27,2023-01-27
