연번,특구 구분,기술명,발명의 명칭,출원번호,등록번호,기술보유기관,12대국가전략기술(대분류),12대국가전략기술(소분류),기술성숙도
1,포항,3차원 바이오프린팅 기반 인공 식도 제조 기술,3차원 바이오프린팅을 이용한 다층 구조를 갖는 인공 식도 구조체 및 제조장치와 제조방법,10-2019-0118951,10-2274151,포항공과대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
2,광주,CDI 개선 유산균 조성물,"클로스트리디오이데스 디피실 억제용 유산균 복합 균주 및 이를 포함하는 장염증 예방, 치료 또는 개선용 조성물",10-2021-0102790,10-2391832,한국식품연구원 세계김치연구소,Ⅰ. 미래도전,1. 첨단바이오,4
3,춘천,CMD 패킷 기술,CDM 패킷을 이용하여 개인정보 노출 여부를 결정하는 방법 및 장치,10-2020-0181420,10-2440180,연세대학교 원주산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
4,광주,CT스캔 영상에서 딥러닝에 기반한 간 종양 검출 방법 및 장치,CT 스캔 영상에서 딥러닝에 기반한 간 종양 검출 방법 및 장치,10-2020-0094356,10-2436351,전남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
5,홍릉,FcγRⅢa 선택적 결합력 향상 당화 Fc 변이체들,FcγRⅢa 선택적 결합력 향상 당화 Fc 변이체들,10-2021-0124554,,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
6,홍릉,M1 대식세포를 유효성분으로 포함하는 광열치료 효과 증진용 조성물,M1 대식세포를 유효성분으로 포함하는 광열치료 효과 증진용 조성물,10-2020-0086062, ,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
7,홍릉,Microrna조합을 이용한 비알코올 지방간염 진단용 바이오마커,microRNA조합을 이용한 비알코올 지방간염 진단용 바이오마커,10-2020-0093534, ,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
8,춘천,"P53의 전사적 활성 저해에 의한 암 검출용 바이오마커, 키트 또는 조성물, 이를 이용한 정보 제공 방법, 약물 스크리닝 방법, 및 악성 형질전환 모델 기술","P53의 전사적 활성 저해에 의한 암 검출용 바이오마커, 키트 또는 조성물, 이를 이용한 정보 제공 방법, 약물 스크리닝 방법, 및 악성 형질전환 모델",10-2021-0068188,10-2273119,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
9,홍릉,"PD-L1 표적화 나노입자, 이를 포함하는 암 예방 또는 치료용 약학 조성물 및 이들의 제조방법","PD-L1 표적화 나노입자, 이를 포함하는 암 예방 또는 치료용 약학 조성물 및 이들의 제조방법",10-2021-0186211,,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,3
10,홍릉,Ph-감응성 fc 변이체,pH-감응성 Fc 변이체,10-2020-0010336,10-2382593,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
11,광주,WIKim0066,항산화 및 항노화 효과를 갖는 락토바실러스 사케이 WiKim0066,10-2017-0154915,10-1938801,한국식품연구원 세계김치연구소,Ⅰ. 미래도전,1. 첨단바이오,4
12,홍릉,가상현실 및 생체신호 센서 기반의 전정-안반사 기능 평가 장치,가상현실 및 생체신호 센서 기반의 전정-안반사 기능 평가 장치,10-2019-0116774,10-2293430,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
13,부산,갈조류 감태의 천연 유래 폴리페놀을 함유한 추출물을 이용한 비만억제 치료 약학 조성물,갈조류 감태의 ｎ-부탄올 추출물을 유효성분으로 함유하는 비만억제 치료용 약학 조성물,10-2011-0088048,10-1613448,한국해양대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,7
14,홍릉,감염성 호흡기 바이러스 차단용 조성물 및 이의 용도,감염성 호흡기 바이러스 차단용 조성물 및 이의 용도,10-2020-0025815,10-2330342,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
15,춘천,건강기능식품 기술,신규 000 속 균주 및 이를 이용한 발효 쌀 추출물을 포함하는 항산화 또는 항 스트레스 기능 개선용 식품 조성물,10-2021-0181949,,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
16,광주,건선개선 기능성 유산균,"라티락토바실러스 커바투스 WiKim0140를 포함하는 염증성 질환의 예방, 개선 또는 치료용 조성물",10-2021-0190021,,한국식품연구원세계김치연구소,Ⅰ. 미래도전,1. 첨단바이오,4
17,창원,견인치료 및 물리치료가 가능한 목디스크 치료용 병렬로봇형 웨어러블 장치 기술,목디스크 치료용 병렬로봇형 웨어러블 장치,10-2019-0038846,10-2159449,경남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
18,홍릉,결명 새싹 유래 나프토파이론 유도체를 포함하는 신경세포 보호용 조성물,결명 새싹 유래 나프토파이론 유도체를 포함하는 신경세포 보호용 조성물,10-2020-0024914,10-2169240,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
19,창원,고감도 세포 검출을 위한 미세 자기장 바이오칩,세포 농축을 위한 마그네틱 필라를 가지는 바이오칩,10-2014-0085996,10-1604588,한국전기연구원,Ⅰ. 미래도전,1. 첨단바이오,5
20,광주,고농도 ＢＣＡＡ 제조방법,근기능 개선 효능을 갖는 고농도 ＢＣＡＡ 제조방법,10-2022-0023435,,전남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,9
21,대구,고지혈증 및 비만증 예방용 생약성분을 함유한 차전초 조추출 및 조성물 기술 ,차전초 조추출물 또는 분획물을 유효성분으로 함유하는 고지혈증 및 비만증의 예방 또는 치료용 조성물,10-2012-0103744,10-1503834,대구한의대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
22,전북,고활성 및 장시간 사용하는 경우에도 반복적으로 효소활성을 나타낼 수 있는 효소의 고정화 방법 개발,효소의 고정화 방법 및 이에 의한 고정화 효소,10-2014-0051307,10-1644939,(재)전북바이오융합산업진흥원,Ⅰ. 미래도전,1. 첨단바이오,4
23,인천서구,고흡습성 폴리머를 이용한 세포 밖 소포체의 농축방법,고흡습성 폴리머를 이용한 세포 밖 소포체의 농축방법,10-2018-0145371, ,인천대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
24,춘천,골 손실 억제 조성물 제조방법,사파논 A를 유효성분으로 포함하는 골 손실 억제용 조성물,10-2018-0020631,10-2014241,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
25,춘천,과당-알지닌을 포함하는 인플라마좀 매개 질환 예방 또는 치료용 조성물 제조기술,과당-알지닌을 포함하는 인플라마좀 매개 질환 예방 또는 치료용 조성물,10-2020-0086540,10-2348924,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
26,광주,관절염 예방 또는 치료용 약학 조성물,관절염 예방 또는 치료용 약학 조성물,10-2021-0065915, ,전남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
27,홍릉,광반응 천연물을 이용한 치과 질환 치료 기술,"곰취추출물을 유효성분으로 함유하는 광역학 반응용 조성물, 이를 포함하는 항균, 항진균 및 살균 조성물, 및 상기 광역학 반응용 조성물을 이용한 살균방법",10-2020-0076758,10-2477307,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
28,전북,구절초를 함유하는 즉석 된장국 개발,구절초를 함유하는 즉석 된장국 제조방법,10-2016-0174303,10-1917009,(재)전북바이오융합산업진흥원,Ⅰ. 미래도전,1. 첨단바이오,6
29,홍릉,굼벵이 추출물을 포함하는 근기능 개선용 조성물,굼벵이 추출물을 포함하는 근기능 개선용 조성물,10-2019-0153665,10-2309947,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
30,전북,균주를 이용한 닭 진드기 방제용 조성물 개발,"닭진드기 방제효과를 갖는 메타리지움 아니소플리에 JEF-214 균주, 이를 이용한 닭진드기 방제용 조성물 및 닭진드기 방제방법",10-2018-0024886,10-2054577,전북대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
31,군산,근감소증 제어 기술을 이용한 노견용 근육 손실 예방 영양제 제품개발,물오리나무 잎으로부터 분리된 신규 화합물 및 이를 포함하는 항산화용 조성물,10-2013-0135028,10-1630439,중앙대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
32,포항,근육피로도 분석이 가능한 웨어러블 디바이스,근전도 측정을 통한 근육 피로도 분석 방법 및 이를 수행하는 웨어러블 디바이스,10-2019-0049956,10-2151745,포항공과대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
33,청주,급성 허혈성 뇌졸중 동물 모델 제조기술,급성 허혈성 뇌졸중 동물 모델 및 이의 제조방법,10-2012-0038107,10-1523129,충북대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
34,진주,기내식용 급속동결 식품조직 손상 방지 기술,식품의 조직손상을 방지하는 식품 냉동 장치 및 그 방법,10-2017-0143957,10-1893767,세종대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
35,진주,기내식용 항균성 식품보관기술,식품 신선도 유지를 위한 항균성 하이드로겔,10-2018-0131091,10-2166485,숙명여자대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
36,울주,기능성 멤브레인을 포함하는 미세유체 칩,기능성 멤브레인 및 이를 포함하는 미세유체 칩과 그 제조방법,10-2022-0036471, ,울산과학기술원,Ⅰ. 미래도전,1. 첨단바이오,5
37,춘천,기능성 화장품 기술,겨우살이 추출물의 용매 분획물 및 이로부터 분리된 활성 물질을 포함하는 항산화 또는 미백용 화장료 조성물,10-2016-0080108,10-1875547,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
38,홍릉,까실쑥부쟁이 추출물을 포함하는 육모 촉진 및 탈모 방지용 조성물,까실쑥부쟁이 추출물을 포함하는 육모 촉진 또는 탈모 방지용 조성물,10-2019-0128516,10-2233117,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
39,춘천,나트륨 금속 배터리 제조 기술,"나트륨 금속 배터리용 코어-쉘 구조의 나노하이브리드 주형, 이를 이용한 나트륨 금속 배터리 및 그 제조 방법",10-2019-0133013,10-2288824,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
40,홍릉,내시경 유도를 통한 흉관 삽관술 장치,내시경 유도를 통한 흉관 삽관술 장치,10-2019-0132334,10-2280296,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
41,광주,노인 넘어짐 예방을 위한 화장실 자세 보조 및 응급알람 시스템,노인 넘어짐 예방을 위한 화장실 자세 보조 및 응급알람 시스템,10-2020-0040925,10-2337775,전남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
42,춘천,높은 정확도를 갖는 COPD 진단 방법,만성 폐쇄성 폐질환 진단용 메틸화 마커,10-2017-0081244,10-1920158,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
43,홍릉,"뇌암세포 표적용 펩타이드로 표면 개질된 약물 전달용 나노입자, 이의 제조방법 및 이의 용도","뇌암세포 표적용 펩타이드로 표면 개질된 약물 전달용 나노입자, 이의 제조방법 및 이의 용도",10-2020-0002725,10-2267519,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
44,광주,뇌질환 개선 락토코커스 사케이,"락토코커스 락티스 아종 호르드니아에 균주 및 이의 퇴행성 뇌질환에 대한 예방, 개선 또는 치료 용도",10-2021-0075400,10-2404016,한국식품연구원 세계김치연구소,Ⅰ. 미래도전,1. 첨단바이오,4
45,홍릉,뇌파 신호의 기능적 연결성 변화 패턴을 이용한 발작 예측장치 및 방법,뇌파 신호의 기능적 연결성 변화 패턴을 이용한 발작 예측 장치 및 방법,10-2020-0160491,10-2455070,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
46,광주,능동 구동형 캡슐내시경,마이크로 로봇 제어용 듀얼 하이브리드 전자석 모듈,10-2021-0013298, ,재단법인 한국마이크로의료로봇연구원,Ⅰ. 미래도전,1. 첨단바이오,5
47,홍릉,다공성 실리콘 마이크로 입자를 포함하는 영상화용 조성물,다공성 실리콘 마이크로 입자를 포함하는 영상화용 조성물,10-2020-0053855,10-2346173,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
48,전북,단백질 분해를 통해 연도가 증가된 고령친화형 스프레드햄 개발,고령친화형 스프레드햄 및 그 제조방법,10-2020-0189916, ,(재)전북바이오융합산업진흥원,Ⅰ. 미래도전,1. 첨단바이오,5
49,홍릉,"단백질 키나아제 저해 활성을 갖는 신규한 피리미도[4,5-d]피리미딘-2-온 유도체","단백질 키나아제 저해 활성을 갖는 신규한 피리미도[4,5-d]피리미딘-2-온 유도체",10-2021-0033887,10-2329723,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
50,춘천,당뇨병성 합병증 예방 치료제,당뇨병성 합병증의 예방 또는 치료용 약제학적 조성물,10-2017-0123576,10-1938991,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
51,춘천,대마로부터 고 함량의 칸나비디올을 대량생산 기술,대마로부터 고 함량의 칸나비디올을 대량생산하는 방법,10-2021-0100567,10-2346700,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
52,전북,대장암 예방을 위한 대장암 진단 시약 및 기기 개발,대장암 진단 또는 예후 예측용 바이오마커,10-2021-0096213,,순천향대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
53,김해,동공상처 치료용 드레싱재,동공상처 치료용 드레싱재,10-2020-0047634,10-2398590,인제대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
54,홍릉,동작 상상에 따른 뇌파를 이용하는 로봇 제어 시스템 및 제어 방법,동작 상상에 따른 뇌파를 이용하는 로봇 제어 시스템 및 제어 방법,10-2020-0047443,10-2386359,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,3
55,춘천,돼지의 성장과 면역 및 번식능력 향상을 위한 항생제 대체 자기활성수 시스템 개발,자기활성수를 이용한 돼지의 번식능력 개선방법,10-2014-0180628,10-1740375,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
56,광주,딥러닝 기반의 혈압 예측 시스템 및 방법,딥러닝 기반의 혈압 예측 시스템 및 방법,10-2017-0154208,10-2042700,전남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
57,홍릉,리그닌 친환경 산화 해중합 분해물 및 이를 포함하는 자외선 차단용 조성물,리그닌 친환경 산화 해중합 분해물 및 이를 포함하는 자외선 차단용 조성물,10-2022-0025514,,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
58,춘천,마늘 발효물을 포함하는 면역 증강용 조성물 및 이의 제조 방법,마늘 발효물을 포함하는 면역 증강용 조성물 및 이의 제조 방법,10-2014-0162773,10-1634002,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
